Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,15856574731.441,17804292964.1045,20001598505.7042,20561069558.2152,20484885119.7348,19907111418.9938,18017749073.6362,18869945678.4215,18353881129.5246,19291104007.6135,19807067268.1084
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11926928505.5231,12890765324.2256,12319830252.4768,12776217194.7928,13228144008.3428,11386846319.1589,11861200797.4706,13019693450.8816,15147020535.3869,15286612572.6895,14799615097.1008
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,161207310515.42,200013038488.906,209058991952.125,209755003250.664,213810023703.446,165979173991.026,160034162957.738,170097230857.956,175414987760.927,171157803367.473,145163902228.168
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,641000000,638000000,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3449966856.68832,3629203786.19154,3188808942.56713,3193704343.20627,3271808157.30038,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3155065487.51819,..
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.59,101353230784.594,89417190341.2533,62306913444.2917
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1148700000,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605351851.85185,1661962962.96296,1415059259.25926
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,517626700412.885,445445177459.453,383066977653.56
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13672802157.8324,12645459213.5235
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2390502793.29609,2549720670.39106,2534636871.50838,2727849720.67039,2790849162.01117,2962905027.93296,2983636871.50838,3092430167.59777,3202188606.92893,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351693984524.5,1208846993739.99,1329188475752.32,1432881172002.17,1396567014733.23,1330900925056.98
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381817565893.574,395568644341.038,416207272209.538,454872626780.005,445075391688.156,428965397959.456
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,52909294791.9262,65951627200.2026,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42607176470.5882
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,10095760000,10070450000,10720500000,10568400000,11111600000,11710800000,11928500000,12490700000,13022100000,13578800000,11250000000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,25713271276.5957,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37652500000,38474521276.5957,..
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249710922462.309,274038973437.275,302563398919.928,324239176765.053
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4530000000,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000,4365500000
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,60258239055.5829
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,480951629493.033,522645519183.591,496181260258.3,521642714407.843,534678075827.361,462149679343.822,475739588764.759,501522868356.441,543410654016.602,533254518108.234,515332499627.861
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1377177082.6384,1460797903.23406,1522897506.07849,1579411253.00514,1667335060.96064,1721700991.46912,1789304087.78561,1858529676.71857,1915899786.96407,1982518540.6134,1763696118.9519
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,9535345011.48797,10693321370.036,11141358105.9853,12517845127.6775,13284527850.2632,11388160997.1089,11821065852.1271,12701655845.9612,14250987026.0533,14391686309.033,15651545208.8783
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7224329000,7484113000,..
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1547991317.81183,1777101316.67756,1781281281.57912,1756215665.09323,1907090813.45906,2003598212.99135,2158972129.00307,2450364928.07302,2446866404.93058,2530547157.56678,2409262838.21987
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,19649631308.1648,23963033429.4364,27084497481.9103,30659338885.6729,32996188017.3661,33000198248.9146,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36688861202.6049
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,17176781336.7644,18644723860.9709,17226849297.07,18178503835.4491,18558343508.3435,16211541820.2438,16913330693.9653,18080118128.3854,20183510561.2553,20202479537.5193,19788422248.1072
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,12786654498.3514,15351972361.1477,14380004175.1194,14901750991.2012,16250781586.6579,14420593484.0557,15646354089.458,17405588070.4332,18663265549.0196,18362348887.5873,15781732825.8934
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2208871646202.82,2616200980392.16,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1795700168991.49,2063507864886.88,1916947014067.55,1877810514260.36,1444733258971.65
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,13707370737.0737,18525319977.7407,19047940300.8963,18093829923.2737,17098342541.4365,12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,13469422941.3919,12016056665.3473
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,50381825504.2642,57386216850.3377,54033250328.5151,55615397665.5809,56901994980.3283,50647442756.7445,53806894796.3801,58971520599.2509,66230155099.5775,68558815111.6199,69105101089.5531
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,10109618964.2848,12080296644.0643,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,16059910870.6239,15990803569.9961,17369059295.2226
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2032135191.46216,2235820808.72913,2333308059.02403,2451625280.19537,2705783330.38791,3104394792.28413,2959641046.92291,3172292379.36329,3036937141.27062,3012308945.62671,3258187232.63159
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1664310769.55229,1865915544.12445,1741809808.96442,1850470042.43281,1859898513.26858,1596800287.16405,1662998677.88425,1769787215.42141,1966983316.32593,1981845740.70615,1703698676.69742
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,11242275198.9706,12829541141.0175,14054443213.4731,15227991395.2235,16702610842.4106,18049954289.4301,20016747754.0153,22177200511.5882,24571753583.504,27089389786.9684,25291251427.3979
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,26169323292.5278,29375448542.4466,29102772799.0038,32357345500.9885,34989493826.2179,30928653813.8538,32643697595.8378,35009262788.15,38694156862.9922,39007354359.2798,39802147568.2174
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1721853332869.63,1741576393905.98,1643407977068.93
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,4156990759.63038,4186223808.95236,4291159006.36025,4405954638.18553,4563017880.71523,4708336733.46934,4909498979.9592,5166467298.69195,5522625585.0234,5935769350.77403,..
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2142591539.43547,2437982706.57518,2510126509.99477,1691544110.69163,1894813389.88179,1695825714.24273,1825018144.46194,2072349974.15257,2220979144.52018,2220307318.74886,2303078337.57431
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,10668102734.8132,12172309522.6171,12367363677.6199,12953535495.8781,13940768065.6063,10950392219.9104,10097778353.7651,10000395242.1457,11239167048.4916,11314951342.7807,10093118570.2918
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,218537551220.071,252251992029.442,267122320056.702,278384332694.359,260541637327.864,243919079437.373,250440149690.889,277034675515.671,297571693064.212,279385487344.526,252940023046.011
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,6087163874510.73,7551500124197.17,8532229986993.65,9570406235659.64,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937467431,14722730697890.1
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,286563105192.456,334943871931.745,370921320483.841,382116126448.554,381112119657.445,293481748240.779,282825009887.458,311883730690.129,334198214706.209,323429888934.257,271346896626.418
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,907978731.702123,1023086272.69622,1015843491.24635,1116224107.17116,1149587659.74502,966029599.801228,1012835492.51575,1077439756.12221,1178530633.81547,1165839899.80269,1219690024.50287
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,21565720044.4634,25839749198.8233,29306235826.3885,32679745297.6453,35909040265.9328,37917704900.0794,37134799974.5225,38019265625.8845,46831342212.5473,50400746171.4239,49868970641.1062
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,13135580695.2473,15634897272.7645,17693924573.2499,17953617927.2933,17889079957.9301,11885478502.053,10158508345.3104,11109029840.2479,13642740884.1356,12693562947.7856,10884686142.6442
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,37658614803.2775,42762617081.6522,47231651864.8284,50949672205.9168,52016408950.8936,56441917652.9812,58847016044.7363,60516043590.1832,62335931464.4979,63951114302.2599,61520669890.4037
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,24908781285.4756,25414875503.0784,26789047554.5988,31273074527.6975,35363533865.7271,45814637971.4745,47964234560.0514,51588158717.5348,58011466450.8643,58539424929.7248,61348579465.1017
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,59918313669.1671,62537851352.4904,56580819623.8529,58194069434.1423,57639588805.5871,49525747503.8149,51601147665.8089,55481644098.0495,61375222347.0256,60752588976.3175,55966581780.1688
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,64328000000,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,100050000000,103131000000,..
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,..,3038699608.93855,3131096089.38547,3147616201.11732,3158406033.51955,3151910782.1229,3122287932.96089,3116610111.73184,3127908044.69274,3101787709.49721,..
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,25732432719.0773,27565469097.9955,24978513426.6992,23900872625.8467,23156850006.6427,19842404304.8929,20953442550.3653,22729184365.1152,25309818138.8758,24949065263.6292,23804340376.9275
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,209069940963.177,229562733398.948,208857719320.649,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,248950103352.137,250686478649.064,243530379896.813
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,321995279401.502,344003137611.271,327148943812.137,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356879499797.896,350104327658.675,355184024841.254
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1128611700.3618,1239144501.77525,1353632941.5207,2042817162.85639,2214681573.56933,2430287967.02678,2603554906.59464,2751461055.59307,3012820409.63313,3324634256.13324,3384404260.07202
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,493825925.925926,501025925.925926,485996296.296296,498296296.296296,520207407.407407,540737037.037037,576229629.62963,519837037.037037,551074074.074074,574607407.407407,469870370.37037
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,53860175555.9961,58029750745.6495,60681537195.7996,62682163837.347,67179914026.9623,71164825256.6849,75704720189.5607,79997975621.8654,85555378042.8196,88941299733.5018,78844702329.0785
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,107562008000,108108009000,98808010000
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,218983666061.706,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,235733695652.174,249712999437.254,303080865603.645,363069245165.315
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,18447920000,20283790000,21386150000,21990970000,22593460000,23438240000,24191430000,24979200000,26020850000,26896660000,24638720000
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,16314443428.9408,21357343681.8966,22388344123.9916,21948834290.3538,21765453087.4795,13185496881.4055,11240808846.6928,12200913887.6419,13097012189.3995,11417278044.9859,10021856754.4944
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1589515447.15447,2065001626.01626,..,..,..,..,..,..,..,..,..
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,19685038567.3462,23394844085.1226,23192708981.8446,25271406707.566,26773473625.1921,23048864242.6072,24259552888.9717,26885077004.7802,30616184212.1592,31471100656.2431,31029968591.2779
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4438778547.23269,4820499497.32134,4886658806.33374,4597702903.12892,4422304974.7989,4062660889.82685,3816018484.52711,4402972999.53486,4665424249.06156,4471598726.6436,3962493092.99308
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64589334978.8013,74296618481.0882,81770791970.982,84269348327.3454,95912590628.1412,107645054311.876
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,2320424601.26954,2490807830.57351,2366301251.61847,2627049837.08135,2850743875.2784,2518096285.61661,2738832687.13698,2899226097.62377,3051341335.9516,3126293219.77989,..
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,3140508835.9485,3774530615.65916,3972012570.53467,4190143206.25611,4856963229.83999,4682546863.08162,4930204229.72263,5353404422.08138,5581393120.62853,5496250694.31587,4376014755.57615
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,249181190476.369,275243697751.011,258304834621.605,271285280621.373,274497230802.958,234440080998.273,240607907010.383,255016517537.983,275849574507.692,268966065200,271233883403.892
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2642609548930.36,2861408170264.6,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72,2588740901639.81,2786502569559.77,2715518274227.45,2603004395901.95
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,14372591916.4792,18210308748.2912,17170465294.0332,17595745653.3676,18203968001.8908,14383107714.0388,14023890620.3384,14929488770.7315,16862282413.8778,16874450215.1351,15593181270.9135
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1543292392.54605,1409694553.90934,1415006238.09509,1375608956.10386,1229460601.92174,1378176868.31568,1484579844.37143,1504909753.28746,1670670668.5939,1826073739.82522,1901930157.64528
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,12243505582.6741,15107441446.7833,16488403076.3641,17189551520.9811,17627003454.7205,14953950557.4406,15141758566.7808,16242916915.7203,17599700090.762,17477255562.2583,15891688903.1843
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3396354075663.73,3744408602683.94,3527344944139.83,3732743446218.92,3883920155292.26,3356235704119.75,3467498002104.33,3673506280844.4,3961831911429.22,3861123558039.21,3806060140124.52
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,32197272797.2028,39337314809.9434,41270954737.2459,62823043699.2187,51717482623.9132,47498906691.6182,54499451834.1061,58845211998.3455,65315955122.8077,67234292582.7606,72354428864.9032
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,296835346570.223,282625610892.477,242053529231.146,238484046041.178,235295470067.176,195317994377.197,192732474229.218,199630819054.302,212146107548.996,205326724570.227,189410106620.016
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,2503156060.52524,2684467375.71479,2609667673.71601,2684952726.88425,2842048997.77283,2499115623.00272,2707146783.13056,2826651925.66902,3051626389.63671,..,..
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,771013259.259259,778655925.925926,799882259.259259,842620111.111111,911497407.407407,997007925.925926,1061631222.22222,1125685185.18519,1168696296.2963,1211403703.7037,1089203703.7037
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,4949000000,4984000000,5265000000,5399000000,5610000000,5799000000,5901000000,6013000000,6051000000,6311000000,..
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,40676432028.5934,46876114650.4996,49593961141.7484,52996540703.5943,57852399963.7878,62186186575.7433,66053725049.0138,71654134378.5299,73208583758.9105,77020015201.3201,77604632170.5853
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,6853467857.6196,6785137172.76517,7638045254.43072,8376613843.27475,8778473614.54971,8794202443.67754,8595955581.21266,10324668266.595,11857030336.5274,13513809258.2083,15681050917.1588
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,849878424.225986,1099818651.98114,989271229.637162,1046087417.96916,1054915645.19654,1048229629.42039,1179004941.22904,1350177127.5523,1504630120.99275,1439638443.38133,1431758242.90375
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,3432913353.27805,3691384743.32286,4063090016.16068,4167801802.7918,4127664335.82693,4279840361.68334,4482697336.56174,4748174334.19019,4787635821.46116,5173759527.50705,5471256594.72422
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,11661585823.2282,13008748131.675,13708931889.7884,14498080022.6317,14790765759.5274,14857386163.9184,13723267960.8434,14213814582.7938,15965670198.4548,14332163266.3977,13417997065.1099
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,15839344591.9842,17710315005.9999,18528601901.324,18499710127.8385,19756494434.7031,20979767785.2104,21717622071.3816,23136232229.6069,24067778953.842,25089976946.7736,23827840809.7014
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,228637697575.04,248513617677.287,262629441493.476,275696879834.966,291459356985.337,309383627028.561,320837638328.846,341244161576.759,361691522612.745,363016373358.517,346585881503.635
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,131916516051.985,141759722464.002,128475498380.379,135411698965.109,140765018880.633,125074286021.14,128470534117.954,142961605733.026,160431092908.646,163503650313.081,155012927629.087
